Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6461d65a43b0df601ecdcdfc,577a04dbadbc7500015d2475,APPROVED,2023-05-15T06:51:06.742000Z,2023-05-15T07:10:28.728000Z,2023-05-16T10:08:18.872000,2023-05-15T07:10:29.321693Z,1162,C17VGRV0,68,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6461d693b89d0cecc1d7d324,5bd3a8173043160001943d9b,APPROVED,2023-05-15T06:52:03.915000Z,2023-05-15T07:18:35.263000Z,2023-05-16T10:08:19.138000,2023-05-15T07:18:35.652949Z,1592,C17VGRV0,335,English,54,Female,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6461d7afa177d07e6409f134,5c33da29221fad0001cc605a,APPROVED,2023-05-15T06:56:47.296000Z,2023-05-15T07:27:37.300000Z,2023-05-16T10:08:19.395000,2023-05-15T07:27:38.190125Z,1851,C17VGRV0,36,"Spanish, Japanese, French, English",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6461e67974a4f42bae118449,5e207c8250207f3829b18445,APPROVED,2023-05-15T07:59:53.803000Z,2023-05-15T08:29:29.492000Z,2023-05-16T10:08:19.634000,2023-05-15T08:29:29.945718Z,1776,C17VGRV0,54,"Spanish, English, Portuguese",31,Female,Other,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6461f867099494508e434d91,5b7ee08c39836a0001665d70,APPROVED,2023-05-15T09:16:23.108000Z,2023-05-15T09:30:38.794000Z,2023-05-16T10:08:19.871000,2023-05-15T09:30:39.232662Z,856,C17VGRV0,381,English,45,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6461fedf599c6b5ac2c414da,5cae09506d573900175d4727,APPROVED,2023-05-15T09:43:59.917000Z,2023-05-15T10:12:01.791000Z,2023-05-16T10:08:20.091000,2023-05-15T10:12:02.265726Z,1682,C17VGRV0,372,"Portuguese, English",24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6461ff9ef4e27e81cba008dc,5ff0cfe8bbdf7f4b85bdf6bd,APPROVED,2023-05-15T09:47:10.514000Z,2023-05-15T09:58:39.344000Z,2023-05-16T10:08:20.331000,2023-05-15T09:58:39.746170Z,689,C17VGRV0,1073,"Dutch, German, English",57,Male,White,Netherlands,United Kingdom,Netherlands,Dutch,No,Full-Time
646207fcbd3707b2db75ec94,5d21f63e4c6155001b9199e1,APPROVED,2023-05-15T10:22:52.961000Z,2023-05-15T10:37:17.147000Z,2023-05-16T10:08:20.581000,2023-05-15T10:37:17.669020Z,865,C17VGRV0,347,"English, French, Spanish, Portuguese",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
64620d98ee30b571d86e3c79,5f0ced1b6ccaed1a4827edb3,APPROVED,2023-05-15T10:46:48.710000Z,2023-05-15T11:04:22.208000Z,2023-05-16T10:08:20.836000,2023-05-15T11:04:22.930399Z,1054,C17VGRV0,131,"German, Italian, English",22,Female,White,Italy,Italy,Italy,Italian,Yes,Other
64620dc8e68855c2b092c4a2,5dde6f53fd5b28dcdc1a1641,APPROVED,2023-05-15T10:47:36.493000Z,2023-05-15T11:01:16.252000Z,2023-05-16T10:08:21.112000,2023-05-15T11:01:16.671149Z,820,C17VGRV0,391,"English, Italian",30,Male,White,Italy,Italy,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
64620ecf935189f5896104e5,5b146e7bc85dc40001624518,APPROVED,2023-05-15T10:51:59.476000Z,2023-05-15T11:22:49.228000Z,2023-05-16T10:08:21.382000,2023-05-15T11:22:49.774364Z,1850,C17VGRV0,479,"English, Spanish",41,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
646213b64fc439cdfd4eb477,5e0b1a07de8da635317f521f,APPROVED,2023-05-15T11:12:54.688000Z,2023-05-15T11:39:44.404000Z,2023-05-16T10:08:21.626000,2023-05-15T11:39:44.868189Z,1610,C17VGRV0,524,"English, Spanish",51,Male,White,United Kingdom,Spain,United Kingdom,English,No,Part-Time
646237455f14def845bd4578,5cc87a01dcedac0001911451,APPROVED,2023-05-15T13:44:37.311000Z,2023-05-15T13:54:06.986000Z,2023-05-16T10:08:21.860000,2023-05-15T13:54:07.432454Z,570,C17VGRV0,335,"English, French",30,Female,White,Canada,Canada,Canada,English,No,Full-Time
64623b8f1d0cf1e6977b5358,5f452661c5a1b50a817ab094,APPROVED,2023-05-15T14:02:55.584000Z,2023-05-15T14:34:23.390000Z,2023-05-16T10:08:22.080000,2023-05-15T14:34:24.166277Z,1888,C17VGRV0,329,"Hungarian, English",23,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
64623e2cd54273cfde7649be,5f02f29a4532c8191dd75812,APPROVED,2023-05-15T14:14:04.148000Z,2023-05-15T14:50:59.849000Z,2023-05-16T10:08:22.298000,2023-05-15T14:51:00.320279Z,2216,C17VGRV0,105,"French, Italian, English, Spanish",22,Female,White,Italy,Italy,Italy,Italian,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64624493f772533c57699018,5c6d2d18a2b39a00016916bd,APPROVED,2023-05-15T14:41:23.170000Z,2023-05-15T16:00:21.726000Z,2023-05-16T10:08:22.507000,2023-05-15T16:00:22.189632Z,4739,C17VGRV0,559,"Spanish, English, Portuguese, French",50,Male,White,Switzerland,Portugal,Portugal,Portuguese,No,Full-Time
